Género,Embarque en Línea,Servicio a Bordo,Servicio de Espacio para las Piernas,Manejo de Equipaje,Servicio de Registro,Servicio en Vuelo,cleanliness,Retraso en la Salida en Minutos,Retraso en la Llegada en Minutos
,1,5,5,5,3,5,3,18,5.0
,1,3,2,4,3,5,1,0,2.0
,1,3,1,3,1,4,3,7,0.0
,4,4,2,1,1,2,1,0,0.0
,5,5,5,5,3,5,4,0,7.0
,4,3,2,4,3,5,2,6,1.0
,3,2,2,2,1,4,5,0,0.0
,4,4,4,4,3,4,5,0,0.0
,4,2,2,5,4,2,3,0,0.0
,3,2,1,4,4,3,2,0,0.0
,1,5,5,5,5,5,5,0,0.0
,3,4,3,3,4,4,4,8,6.0
,1,4,2,2,1,3,1,0,1.0
,3,2,4,3,3,4,3,4,0.0
,3,4,2,5,4,4,2,0,0.0
,5,2,2,2,3,2,4,0,0.0
,4,5,5,5,5,5,3,0,0.0
,5,3,1,5,1,3,5,7,0.0
,5,1,2,1,1,1,5,0,0.0
,4,4,4,2,4,2,4,55,59.0
,3,2,4,1,3,2,3,5,0.0
,2,4,3,4,1,3,2,0,0.0
,4,4,4,4,2,4,4,0,0.0
,4,5,3,1,2,5,1,7,0.0
,4,5,5,5,5,5,3,2,0.0
,4,2,2,2,3,2,1,0,0.0
,5,2,2,2,5,2,5,0,0.0
,4,3,5,4,4,5,4,0,0.0
,4,5,5,5,5,5,3,0,0.0
,2,3,3,3,3,3,3,10,15.0
,3,4,2,3,1,4,3,0,0.0
,5,3,4,3,4,1,5,0,0.0
,4,2,2,3,2,2,2,2,6.0
,2,2,1,2,2,3,1,0,0.0
,2,2,2,3,3,5,2,0,8.0
,4,3,4,4,3,2,4,49,58.0
,4,1,4,3,4,3,3,0,0.0
,4,4,4,4,4,4,1,0,0.0
,4,5,5,5,4,5,5,0,0.0
,5,4,4,4,1,3,5,0,0.0
,1,3,2,4,3,4,1,0,18.0
,2,5,3,5,3,5,4,0,7.0
,3,4,1,4,3,3,4,36,22.0
,5,1,2,2,5,3,5,3,2.0
,1,3,3,5,4,4,4,0,0.0
,4,2,2,2,4,2,4,29,23.0
,3,1,1,3,2,3,3,63,51.0
,5,5,5,5,3,5,3,0,0.0
,5,1,2,4,5,2,1,0,0.0
,4,2,2,2,4,2,5,0,0.0
,5,3,4,5,3,4,4,0,0.0
,3,3,3,3,3,3,1,27,40.0
,4,4,3,5,5,4,5,0,0.0
,4,3,5,5,4,4,5,12,11.0
,4,4,4,4,5,4,5,0,0.0
,3,3,5,4,1,3,1,0,0.0
,1,1,4,1,1,4,1,0,0.0
,1,3,5,4,4,5,1,37,68.0
,2,3,2,3,4,3,4,46,15.0
,5,5,5,5,3,5,4,0,0.0
,3,4,5,4,1,3,3,5,10.0
,3,2,5,4,4,4,3,26,42.0
,4,3,3,3,3,3,5,4,0.0
,1,2,2,2,1,2,1,6,31.0
,4,4,4,4,5,4,4,0,0.0
,5,4,3,4,3,5,1,2,0.0
,4,4,3,5,4,4,2,26,4.0
,4,4,4,4,1,4,4,0,0.0
,2,2,2,3,3,3,5,0,0.0
,3,3,4,1,2,2,3,0,0.0
,4,1,3,4,5,4,1,0,0.0
,2,4,3,3,3,4,2,3,0.0
,3,5,5,5,3,5,3,49,45.0
,4,4,1,4,5,1,4,0,0.0
,4,4,4,4,3,4,5,1,0.0
,4,5,5,4,3,5,1,0,0.0
,5,4,4,4,3,4,3,0,0.0
,4,4,4,4,4,4,3,11,5.0
,4,5,5,5,5,5,3,0,1.0
,2,2,5,3,1,4,4,1,0.0
,5,5,3,4,3,5,3,2,0.0
,4,4,4,4,5,4,3,0,0.0
,3,5,2,3,5,5,1,3,13.0
,5,4,4,4,4,4,4,0,2.0
,1,5,4,4,1,2,1,201,186.0
,4,5,5,5,4,5,5,0,0.0
,3,5,2,5,3,5,3,0,0.0
,1,4,2,4,3,4,1,0,0.0
,5,3,2,4,3,5,4,0,0.0
,3,3,3,3,2,3,1,0,0.0
,1,4,4,3,1,4,1,0,0.0
,2,3,1,3,4,4,1,2,11.0
,5,4,4,5,3,4,5,0,10.0
,2,2,2,2,1,2,1,31,37.0
,1,4,1,4,4,3,2,0,0.0
,4,4,2,4,4,4,3,0,0.0
,5,4,4,4,3,4,4,0,0.0
,4,5,3,5,5,5,4,1,0.0
,4,4,2,5,5,5,3,0,0.0
,4,4,4,5,4,5,5,0,0.0
,0,4,5,4,4,2,1,0,0.0
,3,5,5,4,5,4,3,0,0.0
,1,4,5,4,2,4,5,0,0.0
,2,5,2,4,3,4,5,0,0.0
,5,3,3,3,5,3,4,6,0.0
,3,4,2,4,3,4,1,107,109.0
,2,3,4,2,2,3,2,0,0.0
,2,3,1,3,2,4,1,3,3.0
,4,5,4,4,3,4,4,4,12.0
,2,3,4,2,4,1,3,0,7.0
,1,3,4,5,5,4,2,0,4.0
,5,4,5,4,4,4,4,0,0.0
,3,5,2,4,5,5,5,0,0.0
,0,5,5,4,4,5,2,11,2.0
,2,3,5,2,3,2,2,0,0.0
,1,4,2,5,4,5,1,28,36.0
,3,4,5,4,5,4,2,0,6.0
,2,4,5,2,4,4,2,16,24.0
,2,2,3,4,1,4,2,17,22.0
,0,5,2,5,4,4,2,9,2.0
,4,4,5,4,3,4,3,0,0.0
,2,5,4,5,4,5,5,19,37.0
,4,5,5,4,5,5,4,10,6.0
,5,5,5,5,5,5,4,0,7.0
,4,3,5,5,4,5,2,0,0.0
,5,1,3,1,5,1,4,7,9.0
,4,3,2,2,3,3,5,11,4.0
,2,4,4,2,3,2,5,3,2.0
,2,2,1,3,1,4,3,1,0.0
,5,3,4,5,5,5,5,9,0.0
,3,4,5,4,3,4,1,0,0.0
,5,3,1,4,2,5,1,36,26.0
,2,1,1,3,3,4,4,1,0.0
,5,5,5,5,4,5,5,87,96.0
,5,4,4,4,2,2,5,0,3.0
,4,2,4,4,3,5,4,0,0.0
,3,5,2,4,4,1,3,0,0.0
,1,4,4,5,3,4,3,13,2.0
,4,4,3,3,4,4,4,3,0.0
,5,5,2,3,2,2,3,0,0.0
,3,4,5,3,2,4,3,23,15.0
,5,2,4,1,2,4,5,0,0.0
,3,1,4,1,2,5,3,0,0.0
,2,1,5,4,2,5,1,0,0.0
,2,3,3,3,2,3,4,4,4.0
,0,3,4,5,3,4,2,2,1.0
,4,1,4,5,5,4,4,11,0.0
,4,4,3,5,5,4,3,9,4.0
,5,4,4,2,3,2,4,0,0.0
,2,5,4,4,4,4,5,0,0.0
,5,3,5,5,5,4,5,0,5.0
,4,1,3,2,4,1,4,245,230.0
,4,5,1,1,1,3,4,0,0.0
,3,3,3,1,3,3,3,246,239.0
,4,4,1,2,5,4,4,0,0.0
,2,3,1,3,1,4,2,0,0.0
,4,5,5,5,5,5,5,2,0.0
,4,5,5,5,3,5,5,0,0.0
,3,1,1,4,4,3,3,18,13.0
,2,2,2,2,5,3,5,0,0.0
,4,5,2,3,3,4,3,190,186.0
,1,2,2,1,4,3,4,0,2.0
,4,5,5,5,2,3,4,20,14.0
,1,2,2,3,3,2,3,0,0.0
,5,4,4,4,4,4,4,0,0.0
,4,3,3,2,4,2,4,0,0.0
,5,3,2,2,5,1,5,0,0.0
,4,2,2,2,2,2,1,0,0.0
,2,5,4,1,2,3,3,0,0.0
,2,1,1,1,4,1,3,0,0.0
,2,4,5,2,3,2,1,0,0.0
,3,1,3,1,5,1,4,25,17.0
,5,2,3,4,1,4,5,114,123.0
,4,2,2,2,5,2,4,0,18.0
,3,5,5,4,3,4,1,0,13.0
,4,3,4,3,3,3,5,14,18.0
,5,5,4,5,3,5,5,1,0.0
,1,3,3,3,3,2,5,0,0.0
,4,2,2,2,1,2,4,36,45.0
,1,2,2,4,4,4,1,0,0.0
,3,1,2,2,4,2,2,15,22.0
,4,3,3,3,4,3,3,0,0.0
,5,3,5,5,3,5,5,18,18.0
,3,1,2,4,2,3,3,38,35.0
,4,2,2,2,3,2,5,113,98.0
,4,4,4,4,4,4,5,8,13.0
,5,4,4,5,3,4,4,0,0.0
,4,4,4,4,5,4,5,3,0.0
,4,5,5,5,3,5,5,22,17.0
,2,2,2,2,2,2,3,0,0.0
,3,1,1,4,3,3,2,0,0.0
,2,3,2,5,5,5,5,3,0.0
,2,2,3,2,2,4,2,9,43.0
,5,5,3,5,1,4,5,0,0.0
,5,3,4,3,3,3,4,13,4.0
,2,5,4,2,3,3,4,0,0.0
,4,5,5,5,3,5,5,31,28.0
,4,2,2,2,4,2,4,0,0.0
,3,1,3,4,2,3,5,33,20.0
,4,3,2,5,4,4,5,0,0.0
,2,3,4,5,4,4,1,0,0.0
,1,5,2,4,4,4,4,0,11.0
,2,3,1,5,1,2,1,8,4.0
,3,3,3,3,1,3,3,0,0.0
,1,2,2,4,5,2,1,0,0.0
,4,3,2,5,3,5,5,0,0.0
,1,2,1,3,3,2,3,0,0.0
,4,4,4,3,4,4,5,0,0.0
,4,4,4,4,4,4,5,17,4.0
,5,5,3,5,3,5,4,0,0.0
,3,3,3,2,4,2,5,0,2.0
,2,4,4,4,1,4,4,0,4.0
,2,5,3,5,5,5,5,0,0.0
,4,4,4,4,5,4,2,4,22.0
,4,1,1,4,3,4,4,32,25.0
,3,5,5,5,1,5,5,0,0.0
,2,3,5,4,4,4,1,1,11.0
,4,4,4,4,5,4,4,0,0.0
,5,5,4,5,4,5,3,0,0.0
,3,5,5,4,3,4,4,25,5.0
,3,3,3,3,3,3,3,0,0.0
,5,4,4,4,4,4,3,0,0.0
,5,3,3,3,1,3,4,0,0.0
,4,2,3,3,1,4,5,30,25.0
,4,5,5,4,3,5,3,42,41.0
,3,3,5,4,3,3,1,0,0.0
,0,3,3,5,3,2,4,0,0.0
,4,3,3,3,1,3,2,0,0.0
,4,4,4,4,1,4,1,0,0.0
,2,1,1,3,1,2,2,0,0.0
,1,2,1,3,5,2,3,5,0.0
,2,5,5,5,1,5,1,2,0.0
,5,3,4,3,5,3,3,0,8.0
,4,4,4,4,2,4,3,27,44.0
,3,2,2,2,4,2,1,0,0.0
,2,2,1,3,4,3,1,0,10.0
,4,4,4,4,4,4,3,0,0.0
,5,2,5,4,5,3,5,0,1.0
,3,3,3,5,3,4,2,9,4.0
,4,3,2,4,1,3,2,1,2.0
,4,4,4,4,3,4,4,1,0.0
,3,4,2,5,5,5,5,0,0.0
,4,3,1,4,3,2,4,0,7.0
,4,1,1,1,5,1,4,3,0.0
,1,3,2,4,5,5,1,110,107.0
,2,3,3,1,1,3,4,38,37.0
,4,5,5,5,5,5,5,0,0.0
,1,1,4,4,1,4,5,13,4.0
,4,5,5,5,2,1,4,0,0.0
,4,5,4,4,4,5,4,81,55.0
,4,5,2,5,1,5,4,10,7.0
,4,4,4,4,3,4,3,0,0.0
,5,5,5,5,4,5,3,1,0.0
,4,5,5,5,4,5,5,0,0.0
,5,2,1,5,2,4,2,7,0.0
,4,4,3,4,4,3,4,169,155.0
,2,1,2,1,1,1,5,0,6.0
,0,5,3,1,1,5,3,0,0.0
,5,5,5,5,5,5,4,0,0.0
,5,4,4,4,3,4,5,0,1.0
,4,4,4,4,5,4,4,0,0.0
,2,3,2,3,2,1,2,191,183.0
,4,5,5,5,3,5,5,111,131.0
,2,3,2,4,5,5,3,0,0.0
,0,4,2,4,5,4,2,0,0.0
,2,2,4,4,1,3,4,0,0.0
,4,4,3,4,3,5,4,0,0.0
,5,2,1,1,5,2,5,126,206.0
,5,4,1,1,5,4,5,0,0.0
,4,4,1,2,5,3,4,83,89.0
,5,5,2,4,3,5,5,38,34.0
,3,5,5,5,3,5,5,0,7.0
,3,3,4,5,3,5,2,0,2.0
,5,4,4,4,5,4,3,0,0.0
,4,4,4,3,2,4,1,0,2.0
,2,3,2,5,5,4,3,17,20.0
,4,5,5,5,3,5,4,0,0.0
,4,4,4,4,4,4,3,27,18.0
,3,4,3,4,1,4,2,47,42.0
,4,3,2,5,5,4,4,0,0.0
,4,2,3,2,1,3,4,0,2.0
,4,3,4,3,3,3,3,0,0.0
,1,3,2,5,4,5,5,7,2.0
,5,5,5,5,3,5,4,0,0.0
,1,1,1,1,5,2,4,0,0.0
,5,5,5,5,4,5,4,0,0.0
,5,4,2,1,3,4,3,36,26.0
,1,1,2,3,1,4,4,0,0.0
,2,5,2,5,3,5,4,21,10.0
,3,2,3,5,3,3,1,0,4.0
,1,4,5,4,5,4,4,0,0.0
,1,4,2,4,3,5,2,0,2.0
,5,5,4,5,4,5,5,0,0.0
,5,1,1,1,4,1,4,0,32.0
,2,1,4,1,3,1,4,8,8.0
,2,2,5,4,1,4,3,52,65.0
,2,1,1,1,4,1,1,0,0.0
,5,5,3,5,5,5,4,2,0.0
,2,4,3,3,2,1,2,184,173.0
,5,1,5,3,1,5,5,0,0.0
,4,3,3,3,1,3,4,0,14.0
,4,1,1,4,2,3,3,0,0.0
,3,3,5,5,5,5,1,0,3.0
,5,4,4,4,2,4,3,0,0.0
,3,4,5,5,3,5,1,0,0.0
,4,5,5,4,3,5,4,20,1.0
,5,4,4,4,3,4,3,0,0.0
,5,3,1,3,3,3,3,29,15.0
,4,1,3,1,5,4,2,0,0.0
,3,3,5,4,4,5,3,5,0.0
,3,4,4,3,2,4,1,0,8.0
,4,4,4,4,4,4,3,11,34.0
,4,4,3,5,2,2,4,0,4.0
,2,2,2,2,5,2,4,0,0.0
,1,3,3,4,1,1,1,55,149.0
,5,4,4,4,4,4,4,0,1.0
,2,3,3,3,3,4,3,34,37.0
,1,1,5,3,1,3,1,54,38.0
,4,2,2,2,5,2,5,0,0.0
,1,2,5,3,1,5,3,12,23.0
,5,4,3,5,4,5,5,50,52.0
,3,1,2,4,2,2,5,12,8.0
,5,4,4,4,5,5,5,52,39.0
,3,3,3,3,1,3,2,6,24.0
,1,2,2,2,5,2,1,0,0.0
,4,1,3,3,2,3,5,64,51.0
,5,5,5,5,4,5,5,0,0.0
,3,5,4,5,5,5,1,106,110.0
,2,3,4,4,2,4,4,0,0.0
,2,4,4,4,2,4,2,0,0.0
,2,3,4,4,3,3,1,51,63.0
,5,5,5,5,5,5,4,0,0.0
,2,5,2,4,4,4,5,0,0.0
,4,2,1,2,1,2,2,0,0.0
,3,3,5,2,5,5,4,0,0.0
,3,4,2,4,5,1,2,0,0.0
,2,2,2,2,1,2,1,0,0.0
,5,4,4,4,3,4,4,10,4.0
,3,4,3,4,3,4,1,0,0.0
,4,4,4,4,3,4,5,0,0.0
,1,4,4,5,4,5,4,39,54.0
,3,5,3,1,2,2,5,46,36.0
,1,2,1,3,4,3,1,5,0.0
,4,4,4,2,3,3,3,32,25.0
,1,1,3,2,3,3,2,45,32.0
,4,4,3,4,4,5,3,0,0.0
,5,3,4,3,3,3,3,0,0.0
,4,3,3,3,5,3,4,8,0.0
,2,1,5,2,3,2,5,19,24.0
,1,1,1,3,3,4,1,105,96.0
,2,1,3,3,2,4,2,79,72.0
,4,5,4,4,4,5,3,24,20.0
,3,4,1,3,2,4,3,11,11.0
,5,5,5,5,4,5,3,4,2.0
,3,5,1,5,2,1,2,0,0.0
,4,2,3,3,1,2,3,10,0.0
,3,1,1,1,3,1,3,17,34.0
,0,4,4,5,5,5,2,0,5.0
,1,3,2,2,4,2,2,0,0.0
,2,3,5,5,5,5,4,2,2.0
,5,3,1,1,5,3,5,0,0.0
,5,5,3,5,5,5,5,24,26.0
,5,5,5,5,4,5,5,1,0.0
,4,2,2,4,1,5,4,0,0.0
,5,3,2,4,3,4,1,19,1.0
,1,3,3,4,3,5,3,0,0.0
,5,5,5,5,5,5,3,0,0.0
,4,3,5,4,2,1,4,0,0.0
,2,4,5,5,4,4,5,0,0.0
,2,5,4,4,3,5,3,0,0.0
,3,4,3,4,3,4,3,0,15.0
,2,5,4,4,5,5,4,2,0.0
,5,4,4,4,4,4,3,1,17.0
,1,5,5,4,5,2,2,14,1.0
,3,3,3,4,2,3,3,25,16.0
,4,4,4,4,3,4,3,4,6.0
,2,4,4,4,3,4,3,0,0.0
,5,5,5,4,3,5,3,19,16.0
,2,3,5,4,5,5,2,25,25.0
,1,3,3,5,5,5,1,0,0.0
,4,4,5,5,5,4,4,8,6.0
,0,4,2,3,2,4,5,0,3.0
,0,1,3,4,1,5,2,0,0.0
,3,5,3,5,3,4,3,0,0.0
,1,3,5,3,2,3,1,0,0.0
,4,2,2,2,3,2,5,15,4.0
,5,5,2,5,4,5,5,0,0.0
,4,4,4,4,4,4,4,0,0.0
,3,4,4,4,2,4,4,3,6.0
,4,3,3,2,4,3,1,0,14.0
,3,5,4,2,4,1,4,16,7.0
,2,1,3,4,1,3,2,36,38.0
,1,5,2,5,2,3,3,0,0.0
,3,2,1,1,2,4,5,0,0.0
,2,4,1,3,1,3,1,0,3.0
,2,3,3,3,1,3,4,3,2.0
,4,4,4,4,4,5,4,287,289.0
,5,5,5,5,4,5,4,80,79.0
,4,5,4,4,3,4,3,3,0.0
,4,1,3,3,3,5,4,1,0.0
,3,3,2,3,4,3,3,7,0.0
,3,1,1,2,2,2,5,20,18.0
,4,3,1,4,2,4,4,0,9.0
,4,3,4,3,4,3,5,0,0.0
,5,5,4,5,3,5,2,4,0.0
,4,5,5,5,4,5,4,0,0.0
,5,5,5,5,3,5,4,0,0.0
,2,1,5,3,2,4,2,0,0.0
,1,5,3,4,4,4,5,0,0.0
,3,3,3,3,3,3,4,2,4.0
,5,4,4,4,4,4,4,0,8.0
,2,3,1,5,5,2,4,0,0.0
,5,4,2,5,5,5,5,6,0.0
,2,2,4,4,3,1,3,3,0.0
,2,2,1,5,1,5,1,0,1.0
,4,5,5,5,3,5,4,0,0.0
,3,1,1,3,4,3,2,8,0.0
,5,3,3,3,4,3,4,0,0.0
,2,4,4,4,3,4,1,3,0.0
,5,4,4,4,4,4,4,0,0.0
,1,2,2,4,4,3,4,0,0.0
,4,2,2,4,1,2,2,0,0.0
,4,4,3,4,4,4,5,35,25.0
,2,4,3,5,4,5,4,0,7.0
,4,5,5,5,4,5,5,0,34.0
,4,5,2,3,5,3,4,0,5.0
,5,4,4,4,4,4,4,0,0.0
,4,2,2,2,4,2,1,0,6.0
,0,4,3,4,4,5,1,77,62.0
,4,3,2,4,5,5,1,0,0.0
,4,3,5,4,1,4,4,39,35.0
,3,4,3,4,1,3,2,0,0.0
,0,3,3,3,1,4,5,48,27.0
,5,3,4,3,4,3,5,0,0.0
,4,3,2,4,4,5,4,0,0.0
,3,3,5,4,3,4,4,0,0.0
,4,4,2,3,4,4,5,2,24.0
,4,5,5,5,5,5,3,11,7.0
,1,5,5,5,2,5,3,34,31.0
,5,4,4,5,3,4,3,0,0.0
,5,2,3,1,1,2,5,0,0.0
,5,4,4,4,5,4,3,0,0.0
,5,4,5,4,2,3,1,0,0.0
,5,4,4,4,4,4,4,0,0.0
,3,4,1,4,2,4,4,0,0.0
,4,4,4,4,4,4,4,0,0.0
,4,5,5,5,4,5,4,0,0.0
,5,5,5,5,3,5,3,0,0.0
,1,4,4,4,3,4,1,0,0.0
,3,1,3,3,3,4,1,28,19.0
,2,1,5,4,2,4,5,106,85.0
,5,4,4,1,1,4,5,84,79.0
,3,4,3,3,1,4,2,33,20.0
,5,1,1,1,5,4,5,18,47.0
,1,5,1,1,1,3,2,0,0.0
,1,3,3,3,4,3,5,0,0.0
,4,5,3,1,5,4,3,0,0.0
,1,1,5,4,2,3,1,54,54.0
,3,1,2,1,3,1,5,12,0.0
,4,5,4,5,4,5,4,0,4.0
,4,1,4,2,4,3,5,8,3.0
,4,2,2,1,5,5,4,0,0.0
,4,5,5,4,3,4,3,0,0.0
,3,1,1,4,1,3,1,0,0.0
,1,4,4,3,1,3,1,148,151.0
,1,4,1,3,1,4,1,0,7.0
,4,3,1,3,4,3,5,0,0.0
,4,4,2,3,4,2,4,0,0.0
,4,4,4,4,5,4,4,1,1.0
,1,3,3,3,3,3,1,0,7.0
,2,5,4,5,2,2,4,10,2.0
,3,3,1,1,4,2,4,74,82.0
,2,2,3,4,4,4,3,78,87.0
,4,3,3,3,5,3,2,0,0.0
,2,1,3,4,1,2,4,2,0.0
,5,5,4,4,5,5,4,0,0.0
,3,2,3,2,1,2,3,0,0.0
,3,4,4,4,1,4,2,7,0.0
,3,1,2,2,3,1,1,0,0.0
,4,1,5,3,3,4,3,28,31.0
,5,4,4,4,3,4,5,6,0.0
,4,2,2,2,4,2,3,0,0.0
,5,4,3,5,3,1,5,69,72.0
,4,5,4,5,5,5,3,0,0.0
,3,4,4,4,3,4,4,48,54.0
,2,4,5,3,3,3,2,7,0.0
,2,4,4,4,1,4,3,0,0.0
,2,3,2,5,3,5,5,20,26.0
,3,3,1,3,2,3,3,0,11.0
,3,5,4,5,5,4,5,5,3.0
,5,3,3,4,5,4,5,0,0.0
,2,3,3,4,4,5,2,0,3.0
,4,5,5,5,4,5,5,117,108.0
,1,3,4,5,4,4,4,32,28.0
,4,4,4,5,3,4,5,0,0.0
,2,3,4,3,2,4,2,3,9.0
,5,5,5,5,5,5,5,1,0.0
,2,4,5,3,1,4,4,0,0.0
,1,4,4,4,3,4,2,0,0.0
,3,1,4,3,1,4,3,0,0.0
,4,2,1,4,1,4,5,0,0.0
,3,1,1,1,1,1,4,59,53.0
,4,3,3,3,3,3,4,0,1.0
,1,5,5,4,4,5,2,0,0.0
,4,4,4,4,4,4,5,0,0.0
,2,5,1,2,3,5,2,7,0.0
,5,4,4,5,4,5,4,0,3.0
,4,5,1,3,3,1,4,0,0.0
,3,4,4,4,3,4,4,0,0.0
,4,5,5,5,5,5,3,11,26.0
,5,2,2,2,3,2,5,0,0.0
,4,5,2,4,4,3,2,107,107.0
,1,3,2,4,2,4,1,0,0.0
,1,4,4,4,1,4,1,0,0.0
,2,3,2,4,3,4,2,0,0.0
,3,4,3,4,3,5,2,3,0.0
,4,4,5,4,1,4,5,3,8.0
,3,2,1,4,4,3,3,21,6.0
,2,1,1,1,3,1,1,50,52.0
,4,5,5,5,3,5,4,52,29.0
,4,1,5,3,4,4,2,4,4.0
,4,2,2,2,4,2,3,0,0.0
,5,4,5,4,5,5,4,0,0.0
,3,4,4,2,1,4,1,0,0.0
,0,5,3,4,4,5,2,0,0.0
,2,3,2,4,2,3,3,0,0.0
,4,3,3,3,2,3,4,0,0.0
,2,1,3,4,3,4,3,0,0.0
,4,4,4,4,4,4,3,1,0.0
,5,2,5,3,3,4,2,0,0.0
,3,4,1,3,1,4,3,0,0.0
,3,5,3,5,2,2,5,30,35.0
,5,4,5,5,5,4,2,0,0.0
,2,3,4,4,2,3,4,75,57.0
,1,4,4,4,2,4,5,0,0.0
,1,1,1,1,3,4,3,2,14.0
,2,1,2,1,2,3,1,0,1.0
,2,1,1,4,2,3,2,7,21.0
,5,4,4,4,5,4,4,0,0.0
,4,1,4,2,2,3,4,0,0.0
,1,2,2,5,5,1,2,0,0.0
,5,4,4,4,5,4,5,6,0.0
,1,3,5,2,3,2,4,15,0.0
,4,5,5,5,4,5,4,22,7.0
,2,3,3,4,3,4,3,4,1.0
,4,4,5,5,4,2,5,0,0.0
,4,5,5,5,3,5,3,0,6.0
,5,2,4,2,3,2,5,84,85.0
,5,4,4,4,4,4,5,0,0.0
,2,4,2,5,3,4,2,34,18.0
,4,4,1,3,4,4,2,4,0.0
,4,5,5,5,4,5,3,0,0.0
,4,2,2,2,4,2,2,0,0.0
,4,2,2,2,5,2,3,1,0.0
,5,2,1,3,1,1,5,0,0.0
,5,3,3,3,3,3,5,0,30.0
,3,3,4,5,4,4,1,0,0.0
,3,1,2,4,3,4,4,10,0.0
,5,3,4,4,5,5,5,0,0.0
,5,4,2,4,3,4,3,121,114.0
,2,5,3,4,3,4,2,79,70.0
,5,4,5,4,3,4,4,2,0.0
,2,5,5,5,1,5,4,42,45.0
,3,1,3,3,4,3,4,0,0.0
,3,5,3,4,3,5,3,0,0.0
,1,1,4,3,1,2,1,0,0.0
,1,4,5,4,1,4,2,7,6.0
,1,3,3,4,4,4,1,3,0.0
,3,3,3,5,3,3,3,0,0.0
,1,3,2,5,5,5,3,0,7.0
,3,4,4,4,3,5,4,0,0.0
,1,5,2,5,3,5,2,0,0.0
,0,2,2,2,4,1,3,0,0.0
,1,4,3,4,4,4,3,88,94.0
,3,3,3,2,1,2,3,15,7.0
,3,3,5,4,2,3,4,0,0.0
,4,4,4,4,3,4,2,0,0.0
,1,2,1,1,4,2,2,103,92.0
,4,4,4,4,4,5,4,175,185.0
,4,5,3,5,2,5,4,0,0.0
,4,5,5,5,3,5,4,0,10.0
,5,3,5,4,5,5,3,0,0.0
,4,3,3,3,4,3,4,0,8.0
,1,1,4,1,1,3,1,0,0.0
,2,2,1,4,3,3,4,13,22.0
,5,5,2,3,4,5,3,0,0.0
,4,1,4,3,2,3,4,50,27.0
,1,3,4,5,1,5,1,339,319.0
,5,5,4,5,4,5,5,9,6.0
,3,2,2,3,1,3,1,0,1.0
,1,3,1,2,2,2,1,1,1.0
,5,5,5,5,3,5,3,8,2.0
,4,3,2,5,3,4,4,52,60.0
,3,5,3,5,1,5,2,0,0.0
,4,4,5,4,1,4,3,34,33.0
,3,5,1,5,4,5,4,0,0.0
,3,2,4,3,1,3,3,0,0.0
,1,4,3,4,5,4,3,25,16.0
,2,4,5,4,4,3,3,0,0.0
,2,5,4,5,4,5,4,0,0.0
,4,5,3,4,5,4,5,0,0.0
,2,5,5,5,1,5,2,13,16.0
,2,4,2,4,4,5,5,0,0.0
,2,5,2,5,3,5,4,0,0.0
,1,4,4,4,1,4,3,1,0.0
,2,3,3,3,3,3,1,0,0.0
,2,2,2,1,4,3,2,0,1.0
,2,4,3,1,3,1,2,0,0.0
,4,2,3,2,1,2,5,13,8.0
,1,5,4,5,5,5,3,0,0.0
,4,4,4,4,4,4,4,0,4.0
,4,4,5,4,3,4,3,109,99.0
,3,5,3,4,3,4,1,14,12.0
,1,4,1,4,4,3,2,0,0.0
,3,2,2,4,3,4,3,0,0.0
,3,1,4,2,1,3,2,0,0.0
,4,1,5,2,5,4,5,1,41.0
,4,4,4,4,5,4,3,0,0.0
,3,3,2,5,3,4,2,0,0.0
,5,2,4,1,3,3,5,29,20.0
,4,5,1,2,1,5,4,1,0.0
,4,4,5,4,3,4,5,24,22.0
,5,4,2,4,5,4,4,2,0.0
,0,3,2,4,5,4,2,16,0.0
,4,4,4,4,4,4,4,63,51.0
,4,4,5,4,5,4,4,63,67.0
,3,3,3,4,5,5,4,0,0.0
,4,4,4,4,3,5,2,0,1.0
,3,4,2,2,4,2,3,0,0.0
,1,2,5,2,1,4,2,29,33.0
,3,5,4,2,3,2,2,0,0.0
,4,4,4,4,5,4,5,0,2.0
,5,5,5,2,3,3,1,108,114.0
,5,4,4,4,5,4,5,0,21.0
,3,4,4,4,5,5,3,0,0.0
,5,5,5,4,3,4,4,3,0.0
,4,2,2,2,4,2,5,0,0.0
,4,3,3,3,4,3,3,0,0.0
,5,4,3,3,3,4,5,0,0.0
,5,4,4,4,4,4,4,0,0.0
,3,5,5,4,5,5,4,0,0.0
,3,4,2,4,4,4,5,0,0.0
,3,4,1,4,3,4,4,8,0.0
,5,5,4,5,2,5,1,0,0.0
,3,1,1,1,1,1,2,0,3.0
,4,5,5,5,3,5,5,4,2.0
,5,5,5,5,4,5,3,0,0.0
,3,1,3,4,4,4,3,0,5.0
,4,3,3,3,3,3,3,2,0.0
,5,5,5,5,4,5,4,45,24.0
,2,1,1,1,2,1,4,0,27.0
,3,2,4,3,3,4,3,168,162.0
,3,1,1,1,3,1,4,0,11.0
,3,4,5,5,4,5,2,0,0.0
,4,3,3,3,4,3,1,33,60.0
,5,4,5,4,4,4,4,2,0.0
,3,5,5,5,4,5,5,0,0.0
,3,4,4,3,2,4,3,0,0.0
,3,4,4,3,5,4,1,1,0.0
,0,5,5,5,3,4,5,19,0.0
,3,4,2,4,5,1,1,0,0.0
